codi;municipi;comarca;any;Lloguer_Mitja;Població;Poblacio_Estrangera_Total;Percentatge_Poblacio_Estrangera;Preu / m2 Habitatge total;Compres totals;Rati_VPO;Rati_Obra_Nova;RFDB_Nominal;IPC_Index;Lloguer_Real;RFDB_Real;Tasa_Esforç_Lloguer;Preu_Vivenda_Mig;Anys_Salari_Compra;Tasa_Esforç_Compra;provincia;distancia_km;costa
08157;Pallejà;Baix Llobregat;2025;947,2307595;119722;8620;7,20;2877,82;95;0,00000000000000e+00;1,89473684210526e+01;20764;100,0;947,230759500000;20764,0000000000;54,7426753708341;259003,8;12,47369485648238;56,7856053749020;Barcelona;22;0
08159;Parets del Vallès;Vallès Oriental;2025;846,2792437;188999;15290;8,09;2652,06;161;1,24223602484472e+00;1,24223602484472e+01;19700;100,0;846,279243700000;19700,0000000000;51,5500046900000;238685,4;12,11601015228426;55,1572712900000;Barcelona;25;0
08161;Piera;Anoia;2025;660,0988750;178921;17570;9,82;1584,39;228;4,38596491228070e-01;2,01754385964912e+01;16673;100,0;660,098875000000;16673,0000000000;47,5090655550891;142595,1;8,55245606669466;38,9344457097346;Barcelona;50;0
08163;Pineda de Mar;Maresme;2025;660,8641259;300648;51020;16,97;2369,45;382;5,23560209424084e-01;9,68586387400000e+00;15624;100,0;660,864125900000;15624,0000000000;50,7576133600000;213250,5;13,64890552995392;62,1356680711565;Barcelona;55;1
08167;Polinyà;Vallès Occidental;2025;785,3487755;85714;6480;7,56;2545,98;63;0,00000000000000e+00;9,52380952380952e+00;18506;100,0;785,348775500000;18506,0000000000;50,9250259699557;229138,2;12,38183291905328;56,3674104625011;Barcelona;25;0
08169;Prat de Llobregat, el;Baix Llobregat;2025;849,8471619;662658;73290;11,06;3221,37;548;2,55474452554745e+00;1,47810218978102e+01;18987;100,0;849,847161900000;18987,0000000000;53,7113074356138;289923,3;15,26956865223574;69,5136212411208;Barcelona;11;1
08172;Premià de Mar;Maresme;2025;886,2580465;293496;43320;14,76;2998,85;187;0,00000000000000e+00;9,62566844900000e+00;19107;100,0;886,258046500000;19107,0000000000;55,6607345894175;269896,5;14,12552991050400;64,3054665388422;Barcelona;22;1
08180;Ripollet;Vallès Occidental;2025;714,5670320;397622;56860;14,30;2735,70;387;2,58397932816538e-01;6,45994832041344e+00;17365;100,0;714,567032000000;17365,0000000000;49,3798121739131;246213,0;14,17869277281889;64,5474866743952;Barcelona;16;0
08181;Roca del Vallès, la;Vallès Oriental;2025;825,5801299;110307;6100;5,53;2386,97;122;0,00000000000000e+00;9,83606557377049e+00;21049;100,0;825,580129900000;21049,0000000000;47,0661863214404;214827,3;10,20605729488337;46,4623472554886;Barcelona;36;0
08183;Roda de Ter;Osona;2025;539,6274359;69465;12330;17,75;1314,25;60;0,00000000000000e+00;1,66666666666667e+00;18015;100,0;539,627435900000;18015,0000000000;35,9452080532889;118282,5;6,56577851790175;29,8902379917381;Barcelona;79;0
08184;Rubí;Vallès Occidental;2025;772,1902410;828218;127380;15,38;2301,42;854;2,34192037000000e-01;1,83840749414520e+01;17572;100,0;772,190241000000;17572,0000000000;52,7332283860687;207127,8;11,78737764625541;53,6611952694472;Barcelona;24;0
08187;Sabadell;Vallès Occidental;2025;808,2540374;2245353;340620;15,17;2405,61;2524;2,77337559400000e+03;3,88272583201268e+04;19107;100,0;808,254037400000;19107,0000000000;50,7617545862773;216504,9;11,33118228921338;51,5843984729160;Barcelona;26;0
08191;Sallent;Bages;2025;504,6603636;70446;7580;10,76;1116,68;71;0,00000000000000e+00;2,25352112676056e+01;18605;100,0;504,660363600000;18605,0000000000;32,5499831400161;100501,2;5,40183821553346;24,5914828553736;Barcelona;68;0
08192;Santpedor;Bages;2025;614,7123333;77362;4340;5,61;2144,57;55;0,00000000000000e+00;2,90909090909091e+01;19733;100,0;614,712333300000;19733,0000000000;37,3817868524806;193011,3;9,78114326255511;44,5279564566379;Barcelona;65;0
08194;Sant Adrià de Besòs;Barcelonès;2025;901,5139912;389889;74040;18,99;2991,04;290;1,03448275862069e+00;8,27586206896552e+00;16636;100,0;901,513991200000;16636,0000000000;65,0286601009858;269193,6;16,18138975715316;73,6646217291149;Barcelona;8;1
08196;Sant Andreu de la Barca;Baix Llobregat;2025;737,4468342;270648;29230;10,80;2585,08;183;0,00000000000000e+00;0,00000000000000e+00;18230;100,0;737,446834200000;18230,0000000000;48,5428524980801;232657,2;12,76232583653319;58,0995773070933;Barcelona;27;0
08197;Sant Andreu de Llavaneres;Maresme;2025;1158,3781360;119104;16210;13,61;3054,39;164;0,00000000000000e+00;2,01219512195122e+01;22108;100,0;1158,378136000000;22108,0000000000;62,8755999300000;274895,1;12,43419124298896;56,6057679945163;Barcelona;36;1
08198;Sant Antoni de Vilamajor;Vallès Oriental;2025;838,6123404;67173;4420;6,58;2056,94;67;0,00000000000000e+00;7,46268656716418e+00;20921;100,0;838,612340400000;20921,0000000000;48,1016590258592;185124,6;8,84874527986234;40,2832812014924;Barcelona;44;0
08200;Sant Boi de Llobregat;Baix Llobregat;2025;809,8093284;852998;105260;12,34;3010,36;752;6,64893617021277e-01;1,68882978723404e+01;18638;100,0;809,809328400000;18638,0000000000;52,1392420903530;270932,4;14,53655971670780;66,1766503894140;Barcelona;15;0
08202;Sant Celoni;Vallès Oriental;2025;673,6048634;189101;23770;12,57;1848,08;170;5,88235294117647e-01;3,82352941176471e+01;18073;100,0;673,604863400000;18073,0000000000;44,7256037226802;166327,2;9,20307641200000;41,8963483874168;Barcelona;52;0
08205;Sant Cugat del Vallès;Vallès Occidental;2025;1391,0509790;979607;149390;15,25;5251,95;663;4,52488687782805e-01;3,18250377073906e+01;26038;100,0;1391,050979000000;26038,0000000000;64,1086556110300;472675,5;18,15329518000000;82,6415804200000;Barcelona;17;0
08208;Sant Esteve Sesrovires;Baix Llobregat;2025;887,8369643;81070;6210;7,66;2101,79;86;0,00000000000000e+00;2,20930232558140e+01;21392;100,0;887,836964300000;21392,0000000000;49,8038686032162;189161,1;8,84260938668661;40,2553479858327;Barcelona;38;0
08209;Sant Fost de Campsentelles;Vallès Oriental;2025;958,0617143;94017;5500;5,85;2624,89;83;0,00000000000000e+00;1,44578313253012e+01;20327;100,0;958,061714300000;20327,0000000000;56,5589637998721;236240,1;11,62198553647857;52,9082594965292;Barcelona;22;0
08210;Sant Feliu de Codines;Vallès Oriental;2025;670,6315385;68231;8140;11,93;1617,45;68;0,00000000000000e+00;3,67647058823529e+01;18436;100,0;670,631538500000;18436,0000000000;43,6514344868735;145570,5;7,89599153829464;35,9459378072047;Barcelona;39;0
08211;Sant Feliu de Llobregat;Baix Llobregat;2025;956,4237534;466859;48600;10,41;3479,14;453;1,36865342163355e+01;2,62693156732892e+01;21081;100,0;956,423753400000;21081,0000000000;54,4427922812011;313122,6;14,85330866657179;67,6186273719232;Barcelona;16;0
08213;Sant Fruitós de Bages;Bages;2025;537,5028070;93191;6570;7,05;1542,66;120;4,16666666666667e+00;5,00000000000000e+01;20894;100,0;537,502807000000;20894,0000000000;30,8702674643438;138839,4;6,64494113142529;30,2506201386252;Barcelona;57;0
08214;Vilassar de Dalt;Maresme;2025;1103,2266670;94340;8000;8,48;2683,39;67;0,00000000000000e+00;5,97014925373134e+00;22733;100,0;1103,226667000000;22733,0000000000;58,2356926230590;241505,1;10,62354726608894;48,3629405460595;Barcelona;26;0
08217;Sant Joan Despí;Baix Llobregat;2025;1102,6343020;358175;39650;11,07;3826,43;257;1,40077821011673e+01;2,99610894941634e+01;21658;100,0;1102,634302000000;21658,0000000000;61,0934140917906;344378,7;15,90076184319882;72,3870831840132;Barcelona;11;0
08218;Sant Joan de Vilatorrada;Bages;2025;591,9604819;111143;11670;10,50;1559,23;95;0,00000000000000e+00;2,10526315789474e+01;18226;100,0;591,960481900000;18226,0000000000;38,9746833249204;140330,7;7,69947876700000;35,0513274425026;Barcelona;58;0
